car_name,driven_km,fuel_type,transmission,ownership,manufacture,engine_cc,seats,km_per_cc,cc_per_seat,price_dollar
56,Hyundai Santro Xing GLS,100694.0,Petrol,Manual,3rd Owner,2008,1197.0,5,84.44641065016779,239.0,3140.0
57,Chevrolet Beat LT,37275.0,Petrol,Manual,1st Owner,2014,1950.0,5,19.467708586105864,390.0,4390.0
58,Maruti Alto LXi BSIII,24941.0,Petrol,Manual,1st Owner,2009,1197.0,5,20.76103110518086,239.0,3100.0
59,Hyundai Verna 1.6 SX,116064.0,Diesel,Manual,2nd Owner,2013,5461.0,5,20.841646323935954,1092.0,5770.0
60,Maruti Swift LXI BSIV,61802.0,Petrol,Manual,2nd Owner,2014,1197.0,5,51.32192713697957,239.0,5030.0
61,Honda City i DTEC V,147947.0,Diesel,Manual,1st Owner,2015,1061.0,5,139.73950313413945,212.0,14960.0
62,Hyundai EON Era Plus,67885.0,Petrol,Manual,1st Owner,2013,998.0,5,67.69007618533821,199.0,4140.0
63,Maruti Swift VVT VXI,50000.0,Petrol,Manual,2nd Owner,2016,1197.0,5,41.64483267802777,239.0,6240.0
64,Hyundai Venue SX Opt Turbo BSIV,37938.0,Petrol,Manual,1st Owner,2019,1197.0,7,31.40604524061439,171.0,12130.0
65,Jeep Compass 2.0 Limited,55000.0,Diesel,Manual,1st Owner,2018,1197.0,5,46.41024771612513,239.0,27270.0
66,Hyundai Elantra 1.6 SX Option,46595.0,Diesel,Manual,2nd Owner,2018,1497.0,5,31.112815350177833,299.0,14040.0
67,Hyundai i20 1.4 CRDi Era,100000.0,Diesel,Manual,4th Owner,2011,1061.0,5,94.42296943948709,212.0,3400.0
68,Maruti Baleno 1.2 Alpha,37800.0,Petrol,Manual,1st Owner,2018,1396.0,7,27.058879087532848,199.0,8600.0
69,Skoda New Laura Ambiente 1.9 PD,45500.0,Diesel,Manual,2nd Owner,2010,1248.0,7,36.621116293655014,178.0,3930.0
70,Renault Kiger RXZ,35000.0,Petrol,Manual,1st Owner,2021,1993.0,5,17.20566592147921,398.0,10090.0
71,Maruti Wagon R Stingray LXI,54890.0,Petrol,Manual,2nd Owner,2013,2494.0,5,22.484657147217835,498.0,4360.0
72,Hyundai Creta 1.6 VTVT E Plus,84414.0,Petrol,Manual,1st Owner,2016,1248.0,5,67.88137601781077,249.0,8450.0
73,Honda Amaze S i-DTEC,120000.0,Diesel,Manual,1st Owner,2016,1399.0,5,85.7208550179485,279.0,5700.0
74,Mahindra TUV 300 mHAWK100 T8,47000.0,Diesel,Manual,1st Owner,2017,1968.0,5,23.58767349007702,393.0,8550.0
75,MG Hector Plus Sharp DCT,5000.0,Petrol,Automatic,1st Owner,2020,1451.0,6,3.2006258448647804,241.0,32870.0
76,Nissan Micra XV,45000.0,Petrol,Manual,1st Owner,2010,998.0,5,44.99766424505343,199.0,4530.0
77,Honda City 1.5 V MT,60000.0,Petrol,Manual,2nd Owner,2010,1373.0,5,44.030512685888795,274.0,4540.0
78,Maruti Alto LXi BSIII,80000.0,Petrol,Manual,2nd Owner,2005,1197.0,5,67.00104768919898,239.0,2810.0
79,Renault KWID 1.0 RXL,61432.0,Petrol,Manual,1st Owner,2018,1461.0,5,41.88033575052012,292.0,4490.0
80,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16000.0,Petrol,Automatic,1st Owner,2022,999.0,5,16.248571789210672,199.0,30940.0
81,Honda BR-V i-DTEC E MT,65500.0,Diesel,Manual,1st Owner,2017,1461.0,7,44.95230914840732,208.0,8620.0
82,Jaguar XF 2.0 Petrol Prestige,7500.0,Petrol,Automatic,1st Owner,2020,796.0,5,9.095550143993103,159.0,44540.0
83,Mahindra XUV500 W8 FWD,91480.0,Diesel,Manual,1st Owner,2012,1197.0,5,76.5573268836064,239.0,6110.0
84,Hyundai i10 Magna 1.1L,19967.0,Petrol,Manual,1st Owner,2014,1396.0,5,13.989810093163092,279.0,4580.0
85,Toyota Etios Liva G,67357.0,Petrol,Manual,1st Owner,2011,1198.0,5,56.69483187968167,239.0,4180.0
86,Volkswagen Vento Petrol Highline,82145.0,Petrol,Manual,3rd Owner,2012,2184.0,5,37.26178227348145,436.0,4370.0
87,Maruti Celerio VDi,79977.0,Diesel,Manual,2nd Owner,2016,796.0,7,100.68662462864255,113.0,4860.0
88,Maruti Wagon R VXI,5000.0,Petrol,Manual,1st Owner,2022,1248.0,5,4.372307074723932,249.0,7390.0
89,Mahindra TUV 300 T8,57616.0,Diesel,Manual,1st Owner,2016,814.0,5,70.72479545919225,162.0,7360.0
90,Mercedes-Benz GLC 220d 4MATIC Sport,29000.0,Diesel,Automatic,1st Owner,2018,2993.0,5,10.11769125635791,598.0,45980.0
91,Honda Amaze VX i-DTEC,62000.0,Diesel,Manual,1st Owner,2015,1248.0,5,49.47260370719805,249.0,6430.0
92,Hyundai Getz GLS,70000.0,Petrol,Manual,3rd Owner,2006,1199.0,7,58.24994568445293,171.0,2940.0
93,Maruti Ertiga SHVS VDI,95873.0,Diesel,Manual,2nd Owner,2016,1197.0,5,80.52506976427924,239.0,8390.0
94,Jaguar XF 2.0 Petrol Prestige,7500.0,Petrol,Automatic,1st Owner,2020,2494.0,2,3.1247658169820824,1247.0,44490.0
95,Mahindra XUV500 W8 2WD,100000.0,Diesel,Manual,3rd Owner,2012,2179.0,7,45.92417569159163,311.0,9360.0
96,Hyundai Elantra CRDi SX,55538.0,Diesel,Manual,2nd Owner,2013,1248.0,8,44.79820166150493,156.0,7080.0
97,Maserati Ghibli Diesel BSIV,12000.0,Diesel,Automatic,1st Owner,2016,2967.0,5,4.07737326175904,593.0,50320.0
98,Maruti Swift Dzire VXI,49000.0,Petrol,Manual,1st Owner,2014,1498.0,5,33.084566116725405,299.0,5930.0
99,Mercedes-Benz C-Class C 220 CDI Celebration Edition,58000.0,Diesel,Automatic,2nd Owner,2014,2143.0,5,26.656701036134304,428.0,29780.0
100,Mercedes-Benz CLA 200 CDI Sport,14324.0,Diesel,Automatic,1st Owner,2018,2143.0,5,7.113261541225174,428.0,39830.0
101,Maruti Baleno 1.2 Delta,25000.0,Petrol,Manual,1st Owner,2019,796.0,5,31.427371105400677,159.0,6130.0
102,Honda City V MT,65598.0,Petrol,Manual,1st Owner,2010,2143.0,5,30.30412547214606,428.0,4970.0
103,Tata Hexa XTA,80000.0,Diesel,Automatic,2nd Owner,2018,1198.0,5,67.07747862754627,239.0,20320.0
104,Honda City 1.5 E MT,75525.0,Petrol,Manual,2nd Owner,2010,1197.0,5,62.65387765386681,239.0,4190.0
105,Hyundai i10 Sportz 1.1L,60000.0,Petrol,Manual,1st Owner,2014,1596.0,5,37.764247728616,319.0,4880.0
106,Tata Harrier XZ Plus,30193.0,Diesel,Manual,1st Owner,2021,1493.0,5,20.55757280506014,298.0,33060.0
107,Maruti Vitara Brezza ZDi Plus,60000.0,Diesel,Manual,1st Owner,2019,2143.0,5,28.10203776886086,428.0,12450.0
108,Audi A4 2.0 TDI,114450.0,Diesel,Automatic,3rd Owner,2013,998.0,5,115.02103326207845,199.0,11360.0
109,Hyundai Grand i10 1.2 Kappa Magna CNG BSIV,80000.0,Cng,Manual,2nd Owner,2019,1497.0,5,53.420743783660704,299.0,7620.0
110,Mercedes-Benz S-Class S 350d,1400.0,Diesel,Automatic,1st Owner,2022,1493.0,5,1.3514646037504274,298.0,64100.0
111,Mahindra Scorpio SLX 2.6 Turbo 7 Str,155000.0,Diesel,Manual,2nd Owner,2006,2609.0,7,59.688387546068775,372.0,5280.0
112,Nissan Terrano XL 85 PS,67000.0,Diesel,Manual,1st Owner,2014,1493.0,7,44.94385297629736,213.0,5920.0
113,Maruti Ertiga VXI AT,37377.0,Petrol,Automatic,1st Owner,2019,1197.0,5,31.415134449024503,239.0,12190.0
114,Tata Tiago 1.2 Revotron XT,26680.0,Petrol,Manual,1st Owner,2018,1498.0,5,17.69447265349277,299.0,5890.0
115,Hyundai EON Era Plus,15000.0,Petrol,Manual,1st Owner,2018,814.0,5,18.492270905641043,162.0,4880.0
116,Renault Pulse RxL,104419.0,Diesel,Manual,2nd Owner,2012,2198.0,5,47.24721493917831,439.0,3600.0
117,Force Gurkha Xplorer,35000.0,Diesel,Manual,2nd Owner,2018,1582.0,7,22.427001536047314,226.0,13810.0
118,Mercedes-Benz GLE 300d,13000.0,Diesel,Automatic,1st Owner,2021,1968.0,7,6.695545461162212,281.0,54500.0
119,Maruti Alto K10 2010-2014 VXI,55107.0,Petrol,Manual,1st Owner,2014,796.0,5,69.67783094242903,159.0,4480.0
120,Audi A4 2.0 TDI,60000.0,Diesel,Automatic,1st Owner,2014,1998.0,5,29.87887077081469,399.0,22120.0
121,Ford Ecosport 1.5 DV5 MT Titanium,88993.0,Diesel,Manual,2nd Owner,2013,1199.0,5,74.03146577831606,239.0,5810.0
122,Ford Endeavour 2.2 Trend AT 4X2,103066.0,Diesel,Automatic,2nd Owner,2016,998.0,5,102.94379275268514,199.0,25840.0
123,Toyota Fortuner 2.8 2WD AT,59000.0,Diesel,Automatic,2nd Owner,2017,1199.0,7,49.007271836632654,171.0,37930.0
124,Maruti Swift VXI,17222.0,Petrol,Manual,1st Owner,2018,1248.0,5,14.06650300348544,249.0,7060.0
125,Ford Ecosport 1.5 Petrol Titanium Plus AT,15509.0,Petrol,Automatic,2nd Owner,2020,1498.0,5,10.436046751906101,299.0,20380.0
126,Volkswagen Vento 1.5 TDI Highline AT,141383.0,Diesel,Automatic,1st Owner,2016,1582.0,5,89.00677920052662,316.0,8110.0
127,Maruti Swift Dzire 1.2 ZXi BSIV,92613.0,Petrol,Manual,1st Owner,2011,1498.0,5,61.6674897218741,299.0,4630.0
128,Honda Amaze VX i-VTEC,27000.0,Petrol,Manual,1st Owner,2019,1582.0,7,17.335745491071567,226.0,9920.0
129,Honda CR-V MT With Sun Roof,136000.0,Petrol,Manual,3rd Owner,2012,999.0,5,135.96006532775942,199.0,8660.0
130,Toyota Fortuner 3.0 Diesel,314273.0,Diesel,Manual,2nd Owner,2009,1451.0,5,216.33363399575626,290.0,8440.0
131,Mitsubishi Montero 3.2 GLS,188000.0,Diesel,Manual,2nd Owner,2007,998.0,5,188.76989951331083,199.0,6760.0
132,Renault Lodgy Stepway Edition 8 Seater,50000.0,Diesel,Manual,2nd Owner,2016,993.0,5,50.544484389562655,198.0,9500.0
133,Fiat Avventura MULTIJET Emotion,51490.0,Diesel,Manual,1st Owner,2015,796.0,7,64.41459590593522,113.0,5770.0
134,Kia Seltos HTX Plus D,50135.0,Diesel,Manual,2nd Owner,2020,2179.0,5,22.88854355233007,435.0,16790.0
135,Porsche Cayenne Diesel Platinum Edition,50000.0,Diesel,Automatic,1st Owner,2016,1499.0,5,32.96428382807158,299.0,47970.0
136,Maruti Alto LXi BSIII,77450.0,Petrol,Manual,2nd Owner,2008,1197.0,4,64.26158362924264,299.0,3220.0
137,Maruti Ciaz VDi Plus SHVS,76239.0,Diesel,Manual,2nd Owner,2016,998.0,5,76.22310962451121,199.0,7220.0
138,Ford Ikon 1.3 CLXi,127335.0,Petrol,Manual,2nd Owner,2009,1248.0,5,101.75575233924634,249.0,2780.0
139,Ford Endeavour 3.2 Titanium AT 4X4,80000.0,Diesel,Automatic,1st Owner,2018,814.0,5,98.09949123444868,162.0,37660.0
140,Maruti 800 AC,70000.0,Petrol,Manual,1st Owner,2014,999.0,7,70.44276785535958,142.0,3980.0
141,Hyundai Elantra CRDi SX,120000.0,Diesel,Manual,3rd Owner,2014,1798.0,5,66.73942787616221,359.0,7290.0
142,Toyota Land Cruiser VX,21000.0,Diesel,Automatic,1st Owner,2018,998.0,7,21.505085582984357,142.0,55350.0
143,Maruti Ertiga VDI,245456.0,Diesel,Manual,1st Owner,2013,1497.0,7,163.56545091212564,213.0,5810.0
144,Honda Civic 1.8 S MT,85000.0,Petrol,Manual,2nd Owner,2008,1396.0,5,60.41030309405508,279.0,3420.0
145,Volkswagen Vento 1.0 TSI Highline Plus,26000.0,Petrol,Manual,1st Owner,2021,2987.0,5,9.198667091592322,597.0,18980.0
146,Maruti Wagon R VXI BS IV,27514.0,Petrol,Manual,1st Owner,2014,1197.0,5,23.133033738687352,239.0,5650.0
147,Toyota Innova 2.5 GX (Diesel) 8 Seater,139257.0,Diesel,Manual,1st Owner,2012,1582.0,7,88.31528643852808,226.0,7370.0
148,Toyota Innova Crysta 2.4 ZX AT,47000.0,Diesel,Automatic,1st Owner,2020,2393.0,7,19.317582397803488,341.0,37560.0
149,Maruti Alto LXi,60000.0,Petrol,Manual,2nd Owner,2006,1497.0,5,40.57177624022937,299.0,2500.0
150,Hyundai EON Magna Plus,60000.0,Petrol,Manual,2nd Owner,2014,1462.0,7,41.127763265320716,208.0,3900.0
151,Maruti Alto LX BSIII,60000.0,Petrol,Manual,3rd Owner,2007,1498.0,5,40.193025935825986,299.0,3470.0
152,Hyundai Grand i10 Asta,89680.0,Petrol,Manual,2nd Owner,2015,1197.0,5,74.97568348147925,239.0,6380.0
153,Toyota Innova Crysta 2.8 ZX AT BSIV,75000.0,Diesel,Automatic,2nd Owner,2019,2755.0,7,27.687693310722644,393.0,34260.0
154,Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,120000.0,Diesel,Manual,1st Owner,2007,1950.0,7,61.25044434344744,278.0,4120.0
155,Ford Ecosport 1.5 DV5 MT Titanium,50141.0,Diesel,Manual,2nd Owner,2014,999.0,5,49.75617936251754,199.0,6250.0
156,Hyundai Grand i10 Sportz,35424.0,Petrol,Manual,1st Owner,2016,1197.0,5,29.223580077899033,239.0,6620.0
157,Maruti Ertiga SHVS ZDI Plus,45991.0,Diesel,Manual,1st Owner,2017,1197.0,5,38.23242839542764,239.0,10580.0
158,Hyundai EON Sportz,32935.0,Petrol,Manual,1st Owner,2017,1198.0,5,27.507961155735178,239.0,4950.0
159,Maruti Wagon R VXI BS IV,73639.0,Petrol,Manual,1st Owner,2012,1198.0,5,61.74073800467576,239.0,4090.0
160,Honda City i VTEC CVT VX,73000.0,Petrol,Automatic,1st Owner,2015,1193.0,5,61.56892102153196,238.0,7020.0
161,Honda City i VTEC VX,60000.0,Petrol,Manual,2nd Owner,2015,2494.0,5,24.27309776673977,498.0,6560.0
162,Honda City i VTEC V,78688.0,Petrol,Manual,2nd Owner,2014,2179.0,5,36.137822756271696,435.0,7040.0
163,Maruti Wagon R Stingray VXI,131022.0,Petrol,Manual,1st Owner,2015,1198.0,5,109.10525432195223,239.0,4600.0
164,Maruti Wagon R LXI CNG,47756.0,Cng,Manual,1st Owner,2016,1591.0,5,30.48921796285811,318.0,5160.0
165,Renault Triber RXZ BSIV,25000.0,Petrol,Manual,1st Owner,2019,1248.0,5,20.134825710506412,249.0,7340.0
166,Maruti Ciaz ZDi,79000.0,Diesel,Manual,1st Owner,2015,1461.0,7,53.72213080871294,208.0,8150.0
167,Tata Hexa XE,68315.0,Diesel,Manual,2nd Owner,2017,1248.0,5,55.117318150588495,249.0,9810.0
168,Toyota Land Cruiser Prado TX,67000.0,Diesel,Automatic,1st Owner,2011,2982.0,7,22.200425673851097,426.0,46520.0
169,Hyundai Grand i10 Sportz,24395.0,Petrol,Manual,1st Owner,2016,1197.0,5,20.142243453482802,239.0,6260.0
170,Volkswagen Polo 1.2 MPI Comfortline,46328.0,Petrol,Manual,1st Owner,2016,1197.0,5,38.30103353355299,239.0,6710.0
171,Maruti Ertiga ZDI,40000.0,Diesel,Manual,2nd Owner,2012,2494.0,5,16.04887113581618,498.0,6700.0
172,Hyundai i20 Sportz Diesel,15500.0,Diesel,Manual,1st Owner,2022,1991.0,5,7.586238460920164,398.0,15570.0
173,Mahindra Thar 4X4,10000.0,Diesel,Manual,2nd Owner,2014,1498.0,5,6.943375879014468,299.0,9270.0
174,Mahindra TUV 300 mHAWK100 T8,68364.0,Diesel,Manual,2nd Owner,2017,1197.0,5,57.11903942040531,239.0,8810.0
175,Maruti Swift VDI,107497.0,Diesel,Manual,1st Owner,2012,1995.0,5,53.85682144826766,399.0,5070.0
176,Maruti Ertiga VXI,3707.0,Petrol,Manual,1st Owner,2020,999.0,5,3.419143702393028,199.0,11910.0
177,Toyota Innova 2.5 EV Diesel MS 7 Str BSIII,120000.0,Diesel,Manual,3rd Owner,2005,796.0,5,150.73366977409435,159.0,3750.0
178,Land Rover Discovery Sport Si4 HSE,11000.0,Petrol,Automatic,1st Owner,2017,1198.0,5,8.893547126601442,239.0,40820.0
179,Honda City i DTec S,39000.0,Diesel,Manual,1st Owner,2016,1197.0,5,32.525535868138405,239.0,9580.0
180,Maruti Wagon R VXI BS IV,83000.0,Petrol,Manual,2nd Owner,2015,1197.0,5,69.57546309104269,239.0,5280.0
181,Volkswagen Vento 1.6 Comfortline,65232.0,Petrol,Manual,1st Owner,2018,1493.0,7,43.975527056212165,213.0,12250.0
182,Maruti Swift VDI BSIV,118631.0,Diesel,Manual,1st Owner,2014,1198.0,5,98.60521387901717,239.0,5130.0
183,Tata Indigo LX,80000.0,Diesel,Manual,2nd Owner,2009,1596.0,5,50.414397524290145,319.0,3110.0
184,Maruti Wagon R LXI BS IV,42090.0,Petrol,Manual,1st Owner,2013,999.0,5,41.8446805497749,199.0,4200.0
185,Hyundai Accent GLE,116416.0,Petrol,Manual,3rd Owner,2010,1197.0,5,97.14643570280428,239.0,3360.0
186,Mahindra XUV300 W8 Option Diesel,67534.0,Diesel,Manual,1st Owner,2021,1197.0,5,56.403896319802556,239.0,15290.0
187,Hyundai Creta 1.6 VTVT SX Plus,48000.0,Petrol,Manual,1st Owner,2016,1198.0,5,40.48158788313093,239.0,12970.0
188,Honda Amaze S Petrol BSIV,59858.0,Petrol,Manual,1st Owner,2018,2179.0,5,27.165224079712008,435.0,9100.0
189,Kia Seltos GTX Plus DCT,19667.0,Petrol,Automatic,1st Owner,2019,799.0,5,24.839550385846426,159.0,28670.0
190,Maruti Alto LXi BSIII,120000.0,Petrol,Manual,4th Owner,2007,1198.0,5,100.38783594261916,239.0,3400.0
191,Mahindra XUV500 W10 1.99 mHawk,47000.0,Diesel,Manual,1st Owner,2018,2494.0,7,19.149474382078267,356.0,20600.0
192,Maruti Ciaz Alpha BSIV,35289.0,Petrol,Manual,1st Owner,2018,1199.0,5,29.9293216559166,239.0,9060.0
193,Maruti Alto LX,60000.0,Petrol,Manual,2nd Owner,2005,1998.0,5,30.42652652873073,399.0,2750.0
194,Mahindra Scorpio S10 7 Seater,88000.0,Diesel,Manual,1st Owner,2017,2982.0,7,29.143819764662055,426.0,21710.0
195,Nissan Terrano XL Plus 85 PS,86019.0,Diesel,Manual,2nd Owner,2014,1196.0,5,72.28643934044209,239.0,5820.0
196,Mahindra Thar LX 4-Str Hard Top Diesel,4486.0,Diesel,Manual,1st Owner,2022,1498.0,5,3.473546549642764,299.0,27450.0
197,Maruti Swift Dzire VXI,42278.0,Petrol,Manual,1st Owner,2012,1451.0,5,28.900212322662835,290.0,4680.0
198,Mahindra XUV500 W8 FWD,117000.0,Diesel,Manual,1st Owner,2012,2179.0,7,53.509969703449045,311.0,9940.0
199,Tata Harrier XT BSIV,80000.0,Diesel,Manual,1st Owner,2019,2179.0,5,36.792792237223104,435.0,23260.0
200,Hyundai Grand i10 1.2 Kappa Sportz BSIV,51777.0,Petrol,Manual,1st Owner,2018,1197.0,5,43.17520482513361,239.0,6360.0
201,Maruti Ciaz VDi Option SHVS,96528.0,Diesel,Manual,1st Owner,2017,999.0,5,96.69157728718636,199.0,7120.0
202,Maruti Swift VXI,39260.0,Petrol,Manual,1st Owner,2016,1198.0,5,32.43446552246765,239.0,5820.0
203,Kia Carnival Limousine,30000.0,Diesel,Automatic,1st Owner,2020,2143.0,7,14.432570643403448,306.0,39890.0
204,Honda City i VTEC V,61548.0,Petrol,Manual,1st Owner,2016,998.0,5,61.70572811192897,199.0,9770.0
205,Maruti Alto Green LXi (CNG),127866.0,Cng,Manual,1st Owner,2010,1498.0,5,85.81128239251296,299.0,3350.0
206,MG Hector Sharp DCT,12144.0,Petrol,Automatic,1st Owner,2021,1248.0,5,9.625045626638393,249.0,32790.0
207,Hyundai Santro Magna,17535.0,Petrol,Manual,1st Owner,2020,1248.0,5,13.881908144489284,249.0,6050.0
